kind	filename	width	height	bytes	sha256
original_viewport_224x136	01_start_original_viewport_224x136.ppm	224	136	91407	3cffaf384e041c349ea3c2f0d9d4b27be86b41a1c713e7a8698cc3eefe23ffa2
original_viewport_224x136	02_door_before_original_viewport_224x136.ppm	224	136	91407	93a07d28805f4a0e554607899406b6d706c88be920415940d2453069e673a5f6
original_viewport_224x136	03_after_viewport_click_original_viewport_224x136.ppm	224	136	91407	93a07d28805f4a0e554607899406b6d706c88be920415940d2453069e673a5f6
original_viewport_224x136	04_after_kp5_original_viewport_224x136.ppm	224	136	91407	93a07d28805f4a0e554607899406b6d706c88be920415940d2453069e673a5f6
